home,score,away,year
Switzerland ,1–1 (a.e.t.), Germany,1938
Hungary ,6–0, Dutch East Indies,1938
Sweden ,w/o[a], Austria,1938
Cuba ,3–3 (a.e.t.), Romania,1938
France ,3–1, Belgium,1938
Italy ,2–1 (a.e.t.), Norway,1938
Brazil ,6–5 (a.e.t.), Poland,1938
Czechoslovakia ,3–0 (a.e.t.), Netherlands,1938
Switzerland ,4–2, Germany,1938
Cuba ,2–1, Romania,1938
Hungary ,2–0, Switzerland,1938
Sweden ,8–0, Cuba,1938
Italy ,3–1, France,1938
Brazil ,1–1 (a.e.t.), Czechoslovakia,1938
Brazil ,2–1, Czechoslovakia,1938
Hungary ,5–1, Sweden,1938
Italy ,2–1, Brazil,1938
Brazil ,4–2, Sweden,1938
Italy ,4–2, Hungary,1938
